Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
Ni1C2N1F3H8,4.073,223.065,-0.283
I3Ni1C2N1H8,1.713,195.162,0.184
H8C2Sn1Br3N1,2.283,95.771,-0.058
H8C2Cl3Sn1N1,3.000,89.106,-0.111
H8C2F3Sn1N1,4.240,130.448,-0.458
I3H8C2Sn1N1,1.443,98.650,0.018
Sr1C2N1Br3H8,4.400,108.477,-0.320
Sr1C2N1Cl3H8,5.103,117.354,-0.382
Sr1C2N1F3H8,5.177,195.666,-0.726
I3Sr1C2N1H8,3.818,100.266,-0.224
H8Zn1C2Br3N1,3.813,111.653,-0.068
H8Zn1Cl3C2N1,4.496,113.015,-0.122
H8Zn1F3C2N1,4.663,171.568,-0.423
I3H8Zn1C2N1,3.153,112.204,0.008
Pb1I3C2N1H8,2.031,110.249,-0.006
Pb1H8C2Br3N1,2.566,104.487,-0.080
Pb1H8C2N1Cl3,3.162,105.190,-0.127
Pb1H8C2N1F3,4.654,156.270,-0.456
H5C2Ba1Br3,2.569,279.629,-0.267
H5C2Ba1Cl3,3.949,260.509,-0.366
H5C2Ba1F3,4.606,316.860,-0.875
I3H5C2Ba1,1.268,310.888,-0.139
Be1C2Br3H5,1.591,277.558,0.052
Be1C2Cl3H5,4.577,250.936,-0.069
Be1C2F3H5,5.512,308.201,-0.686
I3Be1C2H5,0.808,309.647,0.192
H5Ca1C2Br3,1.915,276.196,-0.223
H5Ca1C2Cl3,3.873,258.650,-0.324
H5Ca1C2F3,5.082,317.848,-0.859
I3H5Ca1C2,1.061,318.041,-0.090
H5C2Br3Cd1,0.475,315.376,0.134
H5C2Cl3Cd1,1.365,278.917,0.052
H5C2F3Cd1,3.022,306.288,-0.395
I3H5C2Cd1,0.329,344.894,0.224
H5C2Co1Br3,0.078,1089.803,1.072
H5C2Co1Cl3,2.062,216.967,0.142
H5C2Co1F3,0.005,1269.145,0.598
I3H5C2Co1,0.413,291.607,0.292
H5C2Br3Cu1,0.065,221.872,0.198
